Ref,Val,Package,PosX,PosY,Rot,Side
"C233","47uf","C_1206_3216Metric",21.601800,44.210000,180.000000,top
"C235","0.47uf","C_0201_0603Metric",47.161800,41.480000,0.000000,top
"C237","0.47uf","C_0201_0603Metric",47.161800,38.680000,0.000000,top
"C238","0.01uf 10V","C_0201_0603Metric",31.656800,55.850000,180.000000,top
"C240","0.47uf","C_0201_0603Metric",47.151800,42.370000,0.000000,top
"C242","0.01uf","C_0402_1005Metric",56.040000,81.820000,180.000000,top
"C244","22uf","C_1206_3216Metric",31.606800,30.175000,-90.000000,top
"C245","4700pf 100V","C_1206_3216Metric",-8.438200,60.690000,180.000000,top
"C246","0.1uf","C_0201_0603Metric",22.106800,73.687500,-90.000000,top
"C247","22uf","C_1206_3216Metric",-8.753200,49.030000,-90.000000,top
"C248","47pf","C_0201_0603Metric",-0.493200,66.455000,0.000000,top
"C249","47pf","C_0201_0603Metric",-0.503200,64.955000,0.000000,top
"C251","0.47uf","C_0201_0603Metric",1.831800,71.925000,0.000000,top
"C252","4.7uf","C_0402_1005Metric",-10.843200,51.850000,90.000000,top
"C254","0.47uf","C_0201_0603Metric",5.196800,70.285000,-90.000000,top
"C258","0.22uf","C_0201_0603Metric",28.136800,74.025000,180.000000,top
"C259","47uf","C_1206_3216Metric",37.030000,78.950000,0.000000,top
"C265","4.7uf","C_0402_1005Metric",33.336800,30.390000,-90.000000,top
"C266","dnp","C_0201_0603Metric",39.911800,29.450000,180.000000,top
"C267","0.001uf","C_0201_0603Metric",24.946800,10.440000,-90.000000,top
"C268","10uf","C_0402_1005Metric",24.436800,7.370000,180.000000,top
"C269","0.01uf","C_0201_0603Metric",24.976800,8.720000,90.000000,top
"C270","0.1uf","C_0201_0603Metric",24.216800,6.010000,90.000000,top
"C271","0.1uf","C_0201_0603Metric",29.568350,66.875000,180.000000,top
"C272","0.01uf","C_0402_1005Metric",45.680000,81.780000,180.000000,top
"C273","0.1uf","C_0201_0603Metric",47.281800,63.530000,180.000000,top
"C274","4.7uf","C_0402_1005Metric",-6.693200,50.970000,-90.000000,top
"C275","4.7uf","C_0402_1005Metric",-10.583200,58.010000,180.000000,top
"C276","22uf","C_1206_3216Metric",-4.283200,53.905000,-90.000000,top
"C277","4.7uf","C_0402_1005Metric",-6.093200,54.670000,-90.000000,top
"C282","4.7uf","C_0402_1005Metric",1.886800,27.530000,180.000000,top
"C283","4.7uf","C_0402_1005Metric",1.786800,38.830000,180.000000,top
"C302","4.7uf","C_0402_1005Metric",1.386800,46.380000,180.000000,top
"C303","4.7uf","C_0402_1005Metric",1.366800,57.580000,180.000000,top
"C322","4.7uf","C_0402_1005Metric",34.066800,9.240000,180.000000,top
"C345","0.47uf","C_0201_0603Metric",34.276800,30.125000,-90.000000,top
"C348","0.47uf","C_0201_0603Metric",9.100000,65.830000,90.000000,top
"C358","1uf","C_0402_1005Metric",63.330000,74.850000,-90.000000,top
"C359","0.01uf","C_0201_0603Metric",39.390000,1.220000,90.000000,top
"C360","0.047uf","C_0201_0603Metric",-10.453200,47.995000,-90.000000,top
"C364","0.01uf","C_0201_0603Metric",60.336575,68.216681,0.000000,top
"C365","0.01uf","C_0201_0603Metric",59.650000,81.820000,180.000000,top
"C366","0.01uf","C_0201_0603Metric",57.450000,80.150000,0.000000,top
"C367","0.01uf","C_0201_0603Metric",57.090000,76.550000,-90.000000,top
"C368","10uf","C_0805_2012Metric",61.810000,74.480000,-90.000000,top
"CR1","ESD8472MUT5G","X3DFN2_ONS",17.865100,4.960000,180.000000,top
"FL1","WA8514-AE","WA8514AE",54.110000,71.640000,-90.000000,top
"IC1","LT7200SAV#TRPBF","LT7200SAVTRPBF",7.546800,16.390000,180.000000,top
"IC2","ADG772BCPZ-1REEL","QFN50P300X300X80-13N-D",71.317499,55.417501,0.000000,top
"IC3","CY2-143+","QFN50P400X400X100-25N",55.905297,65.093668,0.000000,top
"IC4","TPS22810DRVT","DRV0006A",58.074999,78.230000,180.000000,top
"IC5","MT41K256M16HA-125_E","BGA96C80P9X16_900X1400X120",7.466800,52.130000,-90.000000,top
"IC6","MT41K256M16HA-125_E","BGA96C80P9X16_900X1400X120",7.966800,33.130000,-90.000000,top
"IC7","MT41K256M16HA-125_E","BGA96C80P9X16_900X1400X120",40.111798,14.795000,-90.000000,top
"IC8","24AA256-I_SN","SOIC127P600X175-8N",26.618800,70.760000,0.000000,top
"IC9","PHA-202+","SON127P600X490X100-9N-D",50.610000,81.190000,0.000000,top
"J1","Antenna_in","MMCX_Molex_73415-1471_Vertical",18.120000,1.950000,-90.000000,top
"J2","DIN41612_02x03","Hirose_DF11-6DP-2DSA_2x03_P2.00mm_Vertical",3.540000,83.170000,180.000000,top
"J2a1","WiFi Wired Interface (sec 1)","Custom_Wire_2x04_P2.00mm_Vertical",2.522500,79.897500,-90.000000,top
"J2b1","WiFi Wired Interface (sec 2)","Custom_Wired_2x03_P2.00mm_Vertical",-3.512500,75.985000,-90.000000,top
"J3","AD GPIO","PinSocket_1x06_P1.27mm_Vertical",75.825000,22.795000,180.000000,top
"J5","Ext Clock","MMCX_Molex_73415-1471_Vertical",74.290000,60.420000,-90.000000,top
"J6","Analog SW","PinSocket_2x02_P1.27mm_Vertical",74.487500,57.355000,90.000000,top
"J10","RF_Out","MMCX_Molex_73415-1471_Vertical",66.020000,84.090000,0.000000,top
"J11","Generic Pins","Hirose_DF11-16DP-2DSA_2x08_P2.00mm_Vertical",24.543200,83.660000,0.000000,top
"J12","10103594-0001LF","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal",-8.750000,66.670000,-90.000000,top
"J13","503398-1892","MOLEX_503398-1892",13.896800,78.290000,0.000000,top
"J14","X2_RF_Out","MMCX_Molex_73415-1471_Vertical",60.945630,65.421900,-90.000000,top
